时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,近90天内购买所选种子的竞品品牌商品的人群,定向推荐人群,无线,京东快车(搜索),搜索腰带店铺_小天鹅洗衣机_腰部广告,搜索腰带店铺,45555,1820,4.00%,3106.97,68.20,1.71,144,218860.00,7.91%,70.44,
20190604~20190626,自定义-洗衣机top180SKU不扩展,标签人群,无线,京东快车(搜索),【A+】TB90V88WDCLG_小天鹅洗衣机_单投,搜索无线,44492,2610,5.87%,10102.93,227.07,3.87,262,557873.50,10.04%,55.22,
20190604~20190626,搜索-洗衣机搜索人群,标签人群,无线,京东快车(搜索),【A++】TB100V60_小天鹅洗衣机_单投,TB100V60搜索PC,44449,2498,5.62%,6751.35,151.89,2.70,476,832150.40,19.06%,123.26,
20190604~20190626,洗衣机竞品包1（海尔+统帅+三洋）,标签人群,无线,京东快车(搜索),搜索腰带店铺_小天鹅洗衣机_腰部广告,搜索腰带店铺,44093,1717,3.89%,2983.99,67.67,1.74,115,183063.00,6.70%,61.35,
20190604~20190626,冰箱意向人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++】TB100V80WDCLG_小天鹅洗衣机_单投,搜索无线,43961,3516,8.00%,10772.38,245.04,3.06,877,2124068.00,24.94%,197.18,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,TD100V81WDG搜索PC,43031,1365,3.17%,3992.59,92.78,2.92,169,400002.00,12.38%,100.19,
20190604~20190626,冰箱意向人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++】TD100V80WDX_小天鹅洗衣机_单投,搜索-无线,42152,4767,11.31%,16278.70,386.19,3.41,736,1857687.17,15.44%,114.12,
20190604~20190626,油烟机意向人群（老板方太美的海尔华帝）,标签人群,无线,京东快车(搜索),【A+++】TG100V86WMDY5_小天鹅洗衣机_单投,搜索-无线,41391,4990,12.06%,19383.09,468.29,3.88,878,2554261.00,17.60%,131.78,
20190604~20190626,冰箱意向人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A++】TB100V60_小天鹅洗衣机_单投,TB100V60搜索无线,41342,2076,5.02%,6220.33,150.46,3.00,479,1129118.56,23.07%,181.52,
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,TD100V81WDG搜索PC,41259,1305,3.16%,3819.30,92.57,2.93,164,388277.00,12.57%,101.66,
20190604~20190626,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,41090,5528,13.45%,18533.29,451.04,3.35,1123,2959920.00,20.31%,159.71,
20190604~20190626,九数_618_波轮洗衣机_类目内_高分段_无品牌倾向,外部导入人群,无线,京东直投,,,40635,415,1.02%,156.80,3.86,0.38,-,-,-,-,
20190604~20190626,空调核心人群（格力美的海尔奥克斯TCL）,标签人群,无线,京东快车(搜索),【A+++】TD100V81WDG_小天鹅洗衣机_单投,搜索-无线,40532,5144,12.69%,17351.40,428.09,3.37,963,2536704.00,18.72%,146.20,
20190604~20190626,洗衣机品牌人群（海尔西门子博世三洋LG）,标签人群,无线,京东直投,,,40177,1019,2.54%,467.83,11.64,0.46,3,2397.00,0.29%,5.12,
