时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】近3天搜索电饭煲行业-1018,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,180410,12141,6.73%,27660.13,153.32,2.28,3575,2820637.35,29.45%,101.97,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),MB-FB40P518-明辉-电饭煲_单投,MB-FB40P518明辉--搜索-电饭煲_单投-,177229,13070,7.37%,41893.37,236.38,3.21,2339,1546275.52,17.90%,36.91,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),MB-FB40P518-明辉-电饭煲_单投,MB-FB40P518明辉--搜索-电饭煲_单投-,170537,12726,7.46%,40639.17,238.30,3.19,2311,1547705.62,18.16%,38.08,
20190604~20190626,【新】近7天浏览电饭煲-1108,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,168038,13384,7.96%,30768.27,183.10,2.30,4784,4466518.36,35.74%,145.17,
20190604~20190626,【新】近30天搜索电饭煲未购买-1008,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,167072,10760,6.44%,25088.79,150.17,2.33,1563,787159.47,14.53%,31.37,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,164192,12433,7.57%,29331.03,178.64,2.36,4685,4438582.80,37.68%,151.33,
20190604~20190626,【新】近30天浏览电饭煲-1005,新标签人群,PC,品牌聚效,新品电饭煲,PC展示,159930,219,0.14%,1184.53,7.41,5.41,17,4236.00,7.76%,3.58,
20190604~20190626,【新】30天厨小浏览未购-0605,新标签人群,无线,京东直投,,,156877,6302,4.02%,1844.12,11.76,0.29,10,2829.00,0.16%,1.53,
20190604~20190626,【新】30天厨小浏览未购-0605,新标签人群,无线,京东直投,,,151268,5544,3.67%,1885.38,12.46,0.34,28,5703.20,0.51%,3.02,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,147964,10327,6.98%,32240.81,217.90,3.12,2534,1711663.22,24.54%,53.09,
20190604~20190626,【新】近30天搜索电饭煲未购买-1008,新标签人群,无线,京东快车(搜索),MB-30LH5-电饭煲-明辉_电饭煲_单投,MB-30LH5搜索位置-,145766,6781,4.65%,14384.01,98.68,2.12,562,387079.70,8.29%,26.91,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,143415,10086,7.03%,31354.00,218.62,3.11,2545,1718749.88,25.23%,54.82,
