时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,341,3,0.88%,19.57,57.39,6.52,5,9695.00,166.67%,495.40,
20190604~20190626,【新】618大促高潜人群,京选人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,333,18,5.41%,6.64,19.94,0.37,-,-,-,-,
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,327,20,6.12%,103.87,317.65,5.19,4,11094.00,20.00%,106.81,
20190604~20190626,【新】持【家用电器】类优惠券的用户,京选人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,294,4,1.36%,6.11,20.78,1.53,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,280,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,274,25,9.12%,102.74,374.96,4.11,1,1999.00,4.00%,19.46,
20190604~20190626,【新】加购洗碗机未购买,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,253,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,250,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,225,6,2.67%,19.97,88.76,3.33,-,-,-,-,
20190604~20190626,【新】618大促品牌聚效广告再营销人群,京选人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,204,9,4.41%,19.18,94.02,2.13,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,202,21,10.40%,118.68,587.52,5.65,-,-,-,-,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,无线,品牌聚效,6月首焦_洗碗机,碗美大作战_首焦,202,-,-,3.65,18.07,-,-,-,-,-,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,196,13,6.63%,59.67,304.44,4.59,1,2899.00,7.69%,48.58,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,185,2,1.08%,2.72,14.70,1.36,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,PC,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,184,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】购买厨卫未购买洗碗机,新标签人群,无线,京东快车(搜索),D2_洗碗机_单投,搜索-核心,156,10,6.41%,65.11,417.37,6.51,-,-,-,-,
20190604~20190626,【新】加购洗碗机竞品未购买,新标签人群,PC,京东快车(搜索),V1_洗碗机_单投,搜索-核心,156,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,150,16,10.67%,126.55,843.67,7.91,1,1399.00,6.25%,11.05,
20190604~20190626,【新】关注洗碗机未购买,新标签人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,134,10,7.46%,38.73,289.03,3.87,-,-,-,-,
20190604~20190626,【新】家装未浏览洗消,新标签人群,无线,京东快车(搜索),V1_洗碗机_单投,搜索-核心,130,11,8.46%,39.82,306.31,3.62,-,-,-,-,
