时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,179201,880,0.49%,564.70,3.15,0.64,1,799.00,0.11%,1.41,
20190604~20190626,【新】会买专辑-家电家具家装,新标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-跨品类,167638,349,0.21%,7392.37,44.10,21.18,1,1899.00,0.29%,0.26,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,167255,1025,0.61%,418.37,2.50,0.41,2,2498.00,0.20%,5.97,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,163839,14446,8.82%,65142.12,397.60,4.51,1483,3357562.50,10.27%,51.54,
20190604~20190626,【新】美的洗烘浏览未购买,新标签人群,无线,京东快车(搜索),【A+++】MG100V331DS5_美的洗衣机_单投,搜索-无线,162353,17023,10.49%,61577.63,379.28,3.62,1951,3113118.86,11.46%,50.56,
20190604~20190626,空调核心人群（格力美的海尔奥克斯TCL）,标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-跨品类,157834,265,0.17%,6804.37,43.11,25.68,3,5327.00,1.13%,0.78,
20190604~20190626,自定义-海尔店铺意向人群-海尔自营,标签人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,152604,14281,9.36%,64920.40,425.42,4.55,1424,3305047.20,9.97%,50.91,
20190604~20190626,自定义-核心型号扩展至三级类目品牌,标签人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,152526,13855,9.08%,60751.81,398.30,4.38,1684,3755644.10,12.15%,61.82,
20190604~20190626,自定义-洗衣机top180机型不扩展,标签人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,147380,14510,9.85%,64573.85,438.15,4.45,1659,3739356.80,11.43%,57.91,
20190604~20190626,洗衣机品牌人群（美的+小天鹅）,标签人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,146540,12931,8.82%,56951.29,388.64,4.40,1634,3636670.80,12.64%,63.86,
