时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】企业用户,新标签人群,无线,京东快车(搜索),饮水-(JT100)JR1857S-NF_饮水机_单投,搜索-APP-长尾核心,14,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_618_电热_类目内_高分段_2.5k_3k_0609,外部导入人群,PC,京东快车(搜索),电热-F6030-A9_电热水器_单投,搜索-F6030-A9-APP,14,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_618_燃热_类目内_高分段_3k以上_0609,外部导入人群,PC,京东快车(搜索),燃热-JSQ30-GTS_燃气热水器_单投,搜索-APP,13,-,-,-,-,-,-,-,-,-,
20190604~20190626,饮水-180天购买茶相关30天浏览饮水未购,新标签人群,PC,京东快车(搜索),饮水-YR1623S-X小_饮水机_单投,搜索-YR1623S-X小-app,13,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数_20190610_净水器_618跨品_干预组,外部导入人群,PC,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,13,-,-,-,-,-,-,-,-,-,
20190604~20190626,九数618_净水_类目_高分_无品牌倾向_0615,外部导入人群,PC,京东快车(搜索),净水器-J600_净水器_单投,搜索-APP,12,-,-,-,-,-,-,-,-,-,
20190604~20190626,燃热-加购2000-3000竞品价位段,新标签人群,PC,京东快车(搜索),燃热-JSQ30-HT5_燃气热水器_单投,搜索--电脑区域,12,1,8.33%,2.52,210.00,2.52,-,-,-,-,
20190604~20190626,九数_20190610_电热_618跨品_对照组,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,12,1,8.33%,1.35,112.50,1.35,-,-,-,-,
20190604~20190626,净水-加购2500-4500竞品价位段,新标签人群,PC,京东快车(搜索),净水器-QZ-7_净水器_单投qq,搜索-APP,11,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】饮水-30天未浏览美的,新标签人群,PC,京东快车(搜索),饮水-MYD827S-W_饮水机_单投,搜索-APP,11,-,-,-,-,-,-,-,-,-,
20190604~20190626,【新】燃热-DL3竞品加购人群,新标签人群,无线,京东快车(搜索),燃热-JSQ25-DL3 _燃气热水器,搜索-APP,11,2,18.18%,19.09,1735.45,9.55,2,1998.00,100.00%,104.66,
20190604~20190626,九数_20190616_电热_618跨品_对照组,外部导入人群,PC,京东快车(搜索),电热-F6030-A7S_电热水器_单投,搜索-APP-正常,10,-,-,-,-,-,-,-,-,-,
20190604~20190626,净水-加购2500-4500竞品价位段,新标签人群,PC,京东快车(搜索),净水器-QZ-7_净水器_单投qq,搜索-电脑,10,-,-,-,-,-,-,-,-,-,
