时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
20190604~20190626,【新】关注未购买0油烟机,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0品牌词,15,3,20.00%,7.48,498.67,2.49,0,0,0,0
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0PC,15,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),XC60_消毒柜_单投,搜索0无线,15,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,15,2,13.33%,1.98,132,0.99,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,15,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0长尾词,15,1,6.67%,6.67,444.67,6.67,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,15,2,13.33%,1.98,132,0.99,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0PC,15,1,6.67%,2.23,148.67,2.23,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0PC,15,1,6.67%,2.23,148.67,2.23,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0燃气灶,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,14,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,14,3,21.43%,0.33,23.57,0.11,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,14,3,21.43%,0.33,23.57,0.11,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0无线,14,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,14,1,7.14%,3.18,227.14,3.18,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,14,3,21.43%,0.33,23.57,0.11,0,0,0,0
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,14,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,14,3,21.43%,0.33,23.57,0.11,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,14,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0PC,14,1,7.14%,2.23,159.29,2.23,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,13,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0PC,13,1,7.69%,2.22,170.77,2.22,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0PC,13,0,0,0,0,0,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,13,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0无线,13,2,15.38%,15.06,1158.46,7.53,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,13,3,23.08%,0.79,60.77,0.26,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0长尾词,13,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,13,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,13,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,13,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0长尾词,13,2,15.38%,11.09,853.08,5.55,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J59C+Q390T_烟灶套装_单投,长尾词,13,1,7.69%,7.98,613.85,7.98,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,13,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),XC60_消毒柜_单投,搜索0无线,13,1,7.69%,5.46,420,5.46,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,13,3,23.08%,0.79,60.77,0.26,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0PC,13,1,7.69%,2.22,170.77,2.22,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0PC,12,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0PC,12,1,8.33%,2.22,185,2.22,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,12,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0品牌词,12,2,16.67%,7.09,590.83,3.55,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,搜索0PC,12,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0长尾词,12,2,16.67%,11.09,924.17,5.55,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,12,3,25.00%,0.33,27.5,0.11,0,0,0,0
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0PC,12,1,8.33%,2.23,185.83,2.23,0,0,0,0
20190604~20190626,【新】消毒柜加购未购,新标签人群,无线,京东快车(搜索),80K03_消毒柜_单投,搜索0无线,12,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0品牌词,12,1,8.33%,1.43,119.17,1.43,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0长尾词,11,1,9.09%,7.38,670.91,7.38,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),XC60_消毒柜_单投,搜索0PC,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0品牌词,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0PC,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0PC,11,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0长尾词,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0PC,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0PC,10,1,10.00%,3.24,324,3.24,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,10,1,10.00%,1.1,110,1.1,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,10,0,0,0,0,0,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,10,2,20.00%,9.68,968,4.84,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,搜索0PC,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,10,1,10.00%,1.87,187,1.87,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,10,3,30.00%,0.33,33,0.11,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,PC,京东快车(搜索),XC60_消毒柜_单投,搜索0无线,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0品牌词,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,10,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,9,1,11.11%,5.42,602.22,5.42,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索0PC,9,0,0,0,0,0,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】关注未购买0消毒柜,新标签人群,无线,京东直投,,,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索0PC,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0长尾词,9,0,0,0,0,0,0,0,0,0
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索0PC,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,9,1,11.11%,1.02,113.33,1.02,0,0,0,0
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,推荐0浏览品牌/品类,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,9,1,11.11%,0.11,12.22,0.11,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索0PC,9,1,11.11%,2.23,247.78,2.23,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,搜索0PC,9,0,0,0,0,0,0,0,0,0
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,9,0,0,0,0,0,5,4059.65,0,0
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0无线,9,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0无线,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,8,1,12.50%,1.87,233.75,1.87,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,8,1,12.50%,2.01,251.25,2.01,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,8,1,12.50%,0.11,13.75,0.11,0,0,0,0
20190604~20190626,【新】消毒柜嵌入式入口Top单品浏览未购,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索0PC,8,3,37.50%,0.33,41.25,0.11,0,0,0,0
20190604~20190626,【新】关注未购买0油烟机,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】消毒柜嵌入式入口Top单品浏览未购,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,8,0,0,0,0,0,0,0,0,0
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,推荐0浏览品牌/品类,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】爆品浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0品牌词,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,8,1,12.50%,1.1,137.5,1.1,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0长尾词,8,1,12.50%,7.38,922.5,7.38,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0品牌词,8,1,12.50%,4.05,506.25,4.05,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0品牌词,8,0,0,0,0,0,0,0,0,0
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),T36+Q216B0T_烟灶套装_单投,搜索0PC,8,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品低端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0品牌词,7,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,7,0,0,0,0,0,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,推荐0浏览品牌/品类,7,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,PC,京东快车(搜索),J57_油烟机_单投,搜索0核心0无线,7,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,7,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,7,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】再营销0油烟机点击未购买,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0PC,7,1,14.29%,0.1,14.29,0.1,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0PC,7,1,14.29%,0.1,14.29,0.1,0,0,0,0
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,推荐0浏览品牌/品类,7,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0品牌词,7,1,14.29%,5.54,791.43,5.54,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q39_燃气灶_单投,搜索0无线,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶套装入口top单品浏览未购,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0无线,6,1,16.67%,1.1,183.33,1.1,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0无线,6,0,0,0,0,0,0,0,0,0
20190604~20190626,默认拉新人群,京选人群,无线,京东快车(搜索),T59C+Q390T_烟灶套装_单投,长尾词,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】入口SKU加购未购0烟灶,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),100Q33_消毒柜_单投,搜索0无线,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0品牌词,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J59C+Q390T_烟灶套装_单投,核心词0品牌词,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0无线,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0燃气灶,新标签人群,PC,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,6,1,16.67%,0.11,18.33,0.11,0,0,0,0
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0PC,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0PC,6,2,33.33%,1.98,330,0.99,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0燃气灶,新标签人群,无线,京东快车(搜索),Q39_燃气灶_单投,搜索0PC,6,1,16.67%,2.01,335,2.01,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0PC,6,2,33.33%,4.25,708.33,2.13,0,0,0,0
20190604~20190626,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),J58+Q390T_烟灶套装_单投,搜索0PC,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,PC,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】美的品牌浏览未购0消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0PC,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0PC,6,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】竞品高端品牌浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J57+Q390T_烟灶套装_单投,搜索0PC,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】烟灶加购未购,新标签人群,PC,京东快车(搜索),T59C+Q390T_烟灶套装_单投,核心词0品牌词,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】燃气灶入口Top单品浏览未购买,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0无线,5,0,0,0,0,0,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),T36_油烟机_单投,搜索0核心0无线,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品类7天浏览未购0消毒柜,新标签人群,PC,京东快车(搜索),110Q37_消毒柜_单投,搜索0无线,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】关注未购买0油烟机,新标签人群,PC,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0品牌词,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0消毒柜,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0无线,5,0,0,0,0,0,0,0,0,0
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,PC,京东快车(搜索),90Q15_消毒柜_单投,搜索0无线,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】再营销0燃气灶点击未购买,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0PC,5,0,0,0,0,0,0,0,0,0
20190604~20190626,【新】消毒柜搜索未购0关键词,新标签人群,PC,京东快车(搜索),110Q37_消毒柜_单投,搜索0无线,5,0,0,0,0,0,0,0,0,0
