时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,PC,京东快车(搜索),J58+Q39-T_烟灶套装_单投,搜索-PC,43383,656,1.51%,3312.86,76.36,5.05,91,142421.54,13.87%,42.99,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,无线,京东快车(搜索),T36_油烟机_单投,搜索-核心-无线,43327,2864,6.61%,15804.37,364.77,5.52,215,253949.20,7.51%,16.07,
20190604~20190626,618大促类目购买意向人群【燃气灶】,标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,42932,1236,2.88%,5739.21,133.68,4.64,128,98098.38,10.36%,17.09,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,42881,1670,3.89%,8130.10,189.60,4.87,152,102264.08,9.10%,12.58,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),秒杀计划,美的（Midea）_油烟机,42300,3238,7.65%,11764.78,278.13,3.63,407,456477.47,12.57%,38.80,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J57_油烟机_单投,搜索-核心-无线,42299,2958,6.99%,15891.29,375.69,5.37,320,347549.88,10.82%,21.87,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,42231,3230,7.65%,13726.71,325.04,4.25,430,444022.60,13.31%,32.35,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),T36_油烟机_单投,搜索-PC,42208,259,0.61%,1089.73,25.82,4.21,28,45325.35,10.81%,41.59,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索-核心-无线,42014,1999,4.76%,10994.73,261.69,5.50,115,120446.50,5.75%,10.95,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东快车(搜索),T33P+Q216B-T_烟灶套装_单投,搜索-无线,41982,1457,3.47%,8265.81,196.89,5.67,107,93633.00,7.34%,11.33,
20190604~20190626,【新】品类7天浏览未购-消毒柜,新标签人群,无线,京东快车(搜索),110Q37_消毒柜_单投,搜索-无线,41567,3667,8.82%,14111.44,339.49,3.85,268,303937.00,7.31%,21.54,
20190604~20190626,【新】消毒柜搜索未购-类目,新标签人群,无线,京东快车(搜索),100G01_消毒柜_单投,搜索-无线,41402,1763,4.26%,6823.32,164.81,3.87,97,74906.00,5.50%,10.98,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,PC,京东快车(搜索),J18+Q216B-T_烟灶套装_单投,搜索-PC,41372,421,1.02%,2133.89,51.58,5.07,46,37968.00,10.93%,17.79,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东直投,,,41250,536,1.30%,417.68,10.13,0.78,12,9525.00,2.24%,22.80,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东快车(搜索),J59C+Q39-T_烟灶套装_单投,核心词-无线,41119,3056,7.43%,17657.85,429.43,5.78,200,231578.00,6.54%,13.11,
20190604~20190626,【新】油烟机搜索未购-类目,新标签人群,无线,京东快车(搜索),J57_油烟机_单投,搜索-核心-无线,41033,2290,5.58%,12882.83,313.96,5.63,157,161545.00,6.86%,12.54,
20190604~20190626,【新】竞品品牌浏览未购-燃气灶,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索-无线,41019,6864,16.73%,20616.03,502.60,3.00,501,277195.52,7.30%,13.45,
20190604~20190626,【新】油烟机入口top单品浏览未购,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索-核心-无线,40877,2752,6.73%,13410.08,328.06,4.87,210,218444.50,7.63%,16.29,
20190604~20190626,【新】再营销-油烟机点击未购买,新标签人群,无线,京东快车(搜索),T36+Q39-T_烟灶套装_单投,搜索-核心词-无线,40365,5685,14.08%,61275.66,1518.04,10.78,738,874279.49,12.98%,14.27,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J58_油烟机_单投,搜索-PC,39771,160,0.40%,734.90,18.48,4.59,31,34731.00,19.38%,47.26,
20190604~20190626,【新】品类7天浏览未购-油烟机,新标签人群,无线,京东快车(搜索),J58_油烟机_单投,搜索-核心-无线,39688,2129,5.36%,11741.01,295.83,5.51,130,137765.50,6.11%,11.73,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,PC,京东快车(搜索),J30+Q216B-T_烟灶套装_单投,搜索-PC,39562,1222,3.09%,5020.13,126.89,4.11,233,190880.00,19.07%,38.02,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),J57_油烟机_单投,搜索-PC,39436,732,1.86%,2681.08,67.99,3.66,75,113602.35,10.25%,42.37,
20190604~20190626,【新】竞品品牌浏览未购-消毒柜,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索-无线,38998,3326,8.53%,11199.95,287.19,3.37,319,299362.68,9.59%,26.73,
20190604~20190626,【新】美的品牌浏览未购-油烟机,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索-核心-无线,38824,2956,7.61%,14236.89,366.70,4.82,247,248336.70,8.36%,17.44,
20190604~20190626,【新】家装未浏览烟灶消,新标签人群,无线,京东直投,,,38650,509,1.32%,413.17,10.69,0.81,-,-,-,-,
20190604~20190626,【新】品牌浏览+品类未购-油烟机,新标签人群,无线,京东快车(搜索),J59C+Q39-T_烟灶套装_单投,核心词-无线,38598,2949,7.64%,17057.04,441.92,5.78,195,223181.00,6.61%,13.08,
20190604~20190626,【新】油烟机搜索未购-关键词,新标签人群,PC,京东快车(搜索),T36_油烟机_单投,搜索-PC,38587,169,0.44%,760.31,19.70,4.50,2,2248.00,1.18%,2.96,
